date,total_lines,active_lines_end,retired_lines,orange_count,yellow_count,purple_orig_count,blue_orig_count,purple_profit_count,max_touches,avg_touches,strategic_breaks,quadrant_transitions,final_quadrant,session_range,bearish_resolve_score,bullish_resolve_score,classification,resolve_direction
2024-04-18,42,0,40,21,19,1,1,0,6,1.8571428571428572,40,1,NEUTRAL,417.0,18,20,STRONG_TREND,NEUTRAL
2024-04-19,31,0,29,27,2,1,1,0,10,1.8148148148148149,29,1,NEUTRAL,321.0,1,26,STRONG_TREND,BULLISH
2024-04-22,41,0,40,26,13,1,1,0,18,1.945945945945946,40,1,NEUTRAL,474.0,12,25,STRONG_TREND,BULLISH
2024-04-23,34,0,32,26,6,1,1,0,16,2.3333333333333335,32,1,NEUTRAL,273.0,5,25,STRONG_TREND,BULLISH
2024-04-24,32,0,30,10,20,1,1,0,10,2.259259259259259,30,1,NEUTRAL,250.0,19,9,STRONG_TREND,BEARISH
2024-04-25,40,0,38,18,20,1,1,0,9,1.8235294117647058,38,1,NEUTRAL,464.0,19,17,STRONG_TREND,NEUTRAL
2024-04-26,25,0,24,22,1,1,1,0,5,1.5,24,1,NEUTRAL,292.0,0,21,STRONG_TREND,BULLISH
2024-04-29,11,0,10,3,6,1,1,0,9,4.375,10,1,NEUTRAL,201.0,5,2,RESOLVE,BEARISH
2024-04-30,47,0,46,7,38,1,1,0,7,1.7619047619047619,46,1,NEUTRAL,531.0,37,6,STRONG_TREND,BEARISH
2024-05-01,42,0,40,35,5,1,1,0,10,1.868421052631579,40,1,NEUTRAL,558.0,4,34,STRONG_TREND,BULLISH
2024-05-02,45,1,43,29,14,1,1,0,7,1.75,43,1,NEUTRAL,606.0,13,28,STRONG_TREND,BULLISH
2024-05-03,20,0,18,2,16,1,1,0,4,2.0714285714285716,18,1,NEUTRAL,297.0,15,1,STRONG_TREND,BEARISH
2024-05-06,35,0,34,1,32,1,1,0,8,1.7575757575757576,34,1,NEUTRAL,194.0,31,0,STRONG_TREND,BEARISH
2024-05-07,19,0,17,12,5,1,1,0,11,2.7142857142857144,17,1,NEUTRAL,149.0,4,11,STRONG_TREND,BULLISH
2024-05-08,52,0,51,49,1,1,1,0,17,2.4,51,1,NEUTRAL,277.0,0,48,STRONG_TREND,BULLISH
2024-05-09,76,0,74,72,2,1,1,0,7,1.676923076923077,74,1,NEUTRAL,466.0,1,71,STRONG_TREND,BULLISH
2024-05-10,21,0,20,9,10,1,1,0,15,2.176470588235294,20,1,NEUTRAL,187.0,9,8,STRONG_TREND,NEUTRAL
2024-05-13,33,0,31,1,30,1,1,0,7,1.64,31,1,NEUTRAL,262.0,29,0,STRONG_TREND,BEARISH
2024-05-14,33,0,31,18,13,1,1,0,7,1.962962962962963,31,1,NEUTRAL,248.0,12,17,STRONG_TREND,BULLISH
2024-05-15,42,0,41,35,5,1,1,0,7,1.6285714285714286,41,1,NEUTRAL,263.0,4,34,STRONG_TREND,BULLISH
2024-05-16,40,0,38,24,14,1,1,0,7,1.7058823529411764,38,1,NEUTRAL,212.0,13,23,STRONG_TREND,BULLISH
2024-05-17,29,0,27,21,6,1,1,0,9,2.0,27,1,NEUTRAL,165.0,5,20,STRONG_TREND,BULLISH
2024-05-20,40,0,38,17,21,1,1,0,5,1.2571428571428571,38,1,NEUTRAL,294.0,20,16,STRONG_TREND,BEARISH
2024-05-21,17,0,15,8,7,1,1,0,8,3.0,15,1,NEUTRAL,127.0,6,7,RESOLVE,NEUTRAL
2024-05-22,36,0,34,10,24,1,1,0,9,1.8666666666666667,34,1,NEUTRAL,341.0,23,9,STRONG_TREND,BEARISH
2024-05-23,68,1,66,1,65,1,1,0,7,1.7076923076923076,66,1,NEUTRAL,694.0,64,0,STRONG_TREND,BEARISH
2024-05-24,25,0,23,14,9,1,1,0,7,1.619047619047619,23,1,NEUTRAL,210.0,8,13,STRONG_TREND,BULLISH
2024-05-27,27,0,25,21,4,1,1,0,18,2.1052631578947367,25,1,NEUTRAL,112.0,3,20,STRONG_TREND,BULLISH
2024-05-28,31,0,29,4,25,1,1,0,8,2.3703703703703702,29,1,NEUTRAL,325.0,24,3,STRONG_TREND,BEARISH
2024-05-29,30,1,28,2,26,1,1,0,8,1.7916666666666667,28,1,NEUTRAL,428.0,25,1,STRONG_TREND,BEARISH
2024-05-30,17,0,15,7,8,1,1,0,6,2.3076923076923075,15,1,NEUTRAL,201.0,7,6,RESOLVE,NEUTRAL
2024-05-31,57,0,56,49,6,1,1,0,8,1.9607843137254901,56,1,NEUTRAL,677.0,5,48,STRONG_TREND,BULLISH
2024-06-03,58,0,57,1,54,1,1,1,7,1.9811320754716981,57,1,NEUTRAL,506.0,53,0,STRONG_TREND,BEARISH
2024-06-04,32,0,30,27,3,1,1,0,7,1.625,30,1,NEUTRAL,390.0,2,26,STRONG_TREND,BULLISH
2024-06-05,27,0,26,6,19,1,1,0,8,2.0,26,1,NEUTRAL,309.0,18,5,STRONG_TREND,BEARISH
2024-06-06,20,0,18,13,5,1,1,0,8,2.2857142857142856,18,1,NEUTRAL,284.0,4,12,STRONG_TREND,BULLISH
2024-06-07,34,0,32,25,7,1,1,0,13,1.7666666666666666,32,1,NEUTRAL,380.0,6,24,STRONG_TREND,BULLISH
2024-06-10,20,0,18,13,5,1,1,0,8,2.0625,18,1,NEUTRAL,226.0,4,12,STRONG_TREND,BULLISH
2024-06-11,23,0,22,8,13,1,1,0,8,1.9444444444444444,22,1,NEUTRAL,333.0,12,7,STRONG_TREND,BEARISH
2024-06-12,46,1,44,1,43,1,1,0,10,2.1219512195121952,44,1,NEUTRAL,529.0,42,0,STRONG_TREND,BEARISH
2024-06-13,31,0,30,9,20,1,1,0,8,2.076923076923077,30,1,NEUTRAL,314.0,19,8,STRONG_TREND,BEARISH
2024-06-14,32,1,30,21,9,1,1,0,10,2.56,30,1,NEUTRAL,299.0,8,20,STRONG_TREND,BULLISH
2024-06-17,53,0,52,50,1,1,1,0,8,1.711111111111111,52,1,NEUTRAL,436.0,0,49,STRONG_TREND,BULLISH
2024-06-18,19,0,17,9,8,1,1,0,4,1.6666666666666667,17,1,NEUTRAL,222.0,7,8,STRONG_TREND,NEUTRAL
2024-06-19,18,0,16,1,15,1,1,0,3,1.3636363636363635,16,1,NEUTRAL,66.0,14,0,STRONG_TREND,BEARISH
2024-06-20,50,0,48,46,2,1,1,0,5,1.4473684210526316,48,1,NEUTRAL,481.0,1,45,STRONG_TREND,BULLISH
2024-06-24,37,0,35,30,5,1,1,0,8,1.5483870967741935,35,1,NEUTRAL,381.0,4,29,STRONG_TREND,BULLISH
2024-06-25,51,0,49,6,43,1,1,0,6,1.4791666666666667,49,1,NEUTRAL,450.0,42,5,STRONG_TREND,BEARISH
2024-06-26,31,0,30,26,3,1,1,0,8,2.1538461538461537,30,1,NEUTRAL,280.0,2,25,STRONG_TREND,BULLISH
2024-06-27,25,0,23,17,6,1,1,0,7,2.0,23,1,NEUTRAL,240.0,5,16,STRONG_TREND,BULLISH
2024-06-28,36,2,33,7,27,1,1,0,4,1.4838709677419355,33,1,NEUTRAL,535.0,26,6,STRONG_TREND,BEARISH
2024-07-01,30,0,29,11,17,1,1,0,10,1.8333333333333333,29,1,NEUTRAL,420.0,16,10,STRONG_TREND,BEARISH
2024-07-02,38,0,37,35,1,1,1,0,10,2.3870967741935485,37,1,NEUTRAL,280.0,0,34,STRONG_TREND,BULLISH
2024-07-03,24,0,22,2,20,1,1,0,7,2.0555555555555554,22,1,NEUTRAL,195.0,19,1,STRONG_TREND,BEARISH
2024-07-04,25,0,23,1,22,1,1,0,4,1.4705882352941178,23,1,NEUTRAL,114.0,21,0,STRONG_TREND,BEARISH
2024-07-05,24,0,23,15,7,1,1,0,11,3.0555555555555554,23,1,NEUTRAL,242.0,6,14,STRONG_TREND,BULLISH
2024-07-08,45,0,43,8,35,1,1,0,7,1.5384615384615385,43,1,NEUTRAL,411.0,34,7,STRONG_TREND,BEARISH
2024-07-09,49,1,46,27,20,1,1,0,6,1.380952380952381,46,1,NEUTRAL,368.0,19,26,STRONG_TREND,BULLISH
2024-07-10,59,0,58,53,4,1,1,0,11,1.84,58,1,NEUTRAL,501.0,3,52,STRONG_TREND,BULLISH
2024-07-11,22,0,20,13,7,1,1,0,8,1.5625,20,1,NEUTRAL,263.0,6,12,STRONG_TREND,BULLISH
2024-07-12,65,0,63,59,4,1,1,0,6,1.3703703703703705,63,1,NEUTRAL,467.0,3,58,STRONG_TREND,BULLISH
2024-07-15,23,0,22,8,13,1,1,0,8,2.3684210526315788,22,1,NEUTRAL,225.0,12,7,STRONG_TREND,BEARISH
2024-07-16,65,2,63,62,1,1,1,0,10,1.8166666666666667,63,1,NEUTRAL,628.0,0,61,STRONG_TREND,BULLISH
2024-07-17,39,1,37,36,1,1,1,0,10,2.3461538461538463,37,1,NEUTRAL,398.0,0,35,STRONG_TREND,BULLISH
2024-07-18,83,0,81,24,57,1,1,0,5,1.3472222222222223,81,1,NEUTRAL,786.0,56,23,STRONG_TREND,BEARISH
2024-07-19,28,0,27,1,25,1,1,0,5,1.5416666666666667,27,1,NEUTRAL,415.0,24,0,STRONG_TREND,BEARISH
2024-07-22,21,0,19,4,15,1,1,0,5,1.8571428571428572,19,1,NEUTRAL,259.0,14,3,STRONG_TREND,BEARISH
2024-07-23,22,0,20,13,7,1,1,0,6,1.8888888888888888,20,1,NEUTRAL,228.0,6,12,STRONG_TREND,BULLISH
2024-07-24,37,1,34,3,32,1,1,0,8,1.4242424242424243,34,1,NEUTRAL,467.0,31,2,STRONG_TREND,BEARISH
2024-07-25,57,1,55,54,1,1,1,0,11,1.6666666666666667,55,1,NEUTRAL,612.0,0,53,STRONG_TREND,BULLISH
2024-07-26,47,0,46,44,1,1,1,0,4,1.2790697674418605,46,1,NEUTRAL,597.0,0,43,STRONG_TREND,BULLISH
2024-07-29,18,0,17,1,15,1,1,0,3,1.1538461538461537,17,1,NEUTRAL,319.0,14,0,STRONG_TREND,BEARISH
2024-07-30,31,1,29,18,11,1,1,0,6,1.88,29,1,NEUTRAL,389.0,10,17,STRONG_TREND,BULLISH
2024-07-31,56,0,55,50,4,1,1,0,6,1.7291666666666667,55,1,NEUTRAL,566.0,3,49,STRONG_TREND,BULLISH
2024-08-01,97,1,95,4,91,1,1,0,6,1.3444444444444446,95,1,NEUTRAL,1020.0,90,3,STRONG_TREND,BEARISH
2024-08-02,51,0,50,1,48,1,1,0,7,1.5333333333333334,50,1,NEUTRAL,694.0,47,0,STRONG_TREND,BEARISH
2024-08-05,21,0,20,13,6,1,1,0,6,2.066666666666667,20,1,NEUTRAL,548.0,5,12,STRONG_TREND,BULLISH
2024-08-06,50,1,48,46,2,1,1,0,8,1.9090909090909092,48,1,NEUTRAL,840.0,1,45,STRONG_TREND,BULLISH
2024-08-07,58,1,55,14,42,1,1,0,6,1.48,55,1,NEUTRAL,866.0,41,13,STRONG_TREND,BEARISH
2024-08-08,49,0,48,46,1,1,1,0,8,1.5555555555555556,48,1,NEUTRAL,607.0,0,45,STRONG_TREND,BULLISH
2024-08-09,33,0,32,22,8,1,1,1,13,1.9259259259259258,32,1,NEUTRAL,415.0,7,21,STRONG_TREND,BULLISH
2024-08-12,23,0,22,1,20,1,1,0,3,1.263157894736842,22,1,NEUTRAL,352.0,19,0,STRONG_TREND,BEARISH
2024-08-13,35,0,33,27,6,1,1,0,8,2.0,33,1,NEUTRAL,420.0,5,26,STRONG_TREND,BULLISH
2024-08-14,42,0,40,36,4,1,1,0,5,1.6111111111111112,40,1,NEUTRAL,346.0,3,35,STRONG_TREND,BULLISH
2024-08-15,31,0,29,13,16,1,1,0,8,1.5384615384615385,29,1,NEUTRAL,313.0,15,12,STRONG_TREND,BEARISH
2024-08-16,33,0,31,24,7,1,1,0,12,2.4074074074074074,31,1,NEUTRAL,290.0,6,23,STRONG_TREND,BULLISH
2024-08-19,21,0,20,18,1,1,1,0,8,2.2941176470588234,20,1,NEUTRAL,220.0,0,17,STRONG_TREND,BULLISH
2024-08-20,20,0,19,3,15,1,1,0,14,2.8823529411764706,19,1,NEUTRAL,164.0,14,2,STRONG_TREND,BEARISH
2024-08-21,25,0,24,4,18,1,1,1,5,1.7391304347826086,24,1,NEUTRAL,247.0,17,3,STRONG_TREND,BEARISH
