date,sig_yellows,sig_oranges,bearish_score,bullish_score,session_range,classification,resolve_direction,trend_score
2024-02-08,2,1,1,0,198.0,CHOP,NEUTRAL,1
2024-02-09,2,1,1,0,128.0,COMPRESSION,NEUTRAL,1
2024-02-12,1,1,0,0,283.0,CHOP,NEUTRAL,0
2024-02-13,1,1,0,0,429.0,CHOP,NEUTRAL,0
2024-02-14,1,2,0,1,220.0,CHOP,NEUTRAL,1
2024-02-15,1,1,0,0,334.0,CHOP,NEUTRAL,0
2024-02-16,2,2,1,1,231.0,CHOP,NEUTRAL,1
2024-02-19,1,1,0,0,26.0,COMPRESSION,NEUTRAL,0
2024-02-20,2,1,1,0,183.0,CHOP,NEUTRAL,1
2024-02-21,1,3,0,2,238.0,MIXED,BULLISH,2
2024-02-22,1,1,0,0,344.0,CHOP,NEUTRAL,0
2024-02-23,3,2,2,1,182.0,MIXED,NEUTRAL,2
2024-02-26,3,2,2,1,208.0,MIXED,NEUTRAL,2
2024-02-27,1,1,0,0,165.0,CHOP,NEUTRAL,0
2024-02-28,1,2,0,1,197.0,CHOP,NEUTRAL,1
2024-02-29,3,2,2,1,261.0,MIXED,NEUTRAL,2
2024-03-01,3,5,2,4,264.0,RESOLVE,BULLISH,4
2024-03-04,1,5,0,4,171.0,RESOLVE,BULLISH,4
2024-03-05,8,1,7,0,431.0,STRONG_TREND,BEARISH,7
2024-03-06,6,2,5,1,286.0,RESOLVE,BEARISH,5
2024-03-07,6,2,5,1,186.0,RESOLVE,BEARISH,5
2024-03-08,3,2,2,1,282.0,MIXED,NEUTRAL,2
2024-03-11,3,6,2,5,329.0,RESOLVE,BULLISH,5
2024-03-12,3,3,2,2,384.0,MIXED,NEUTRAL,2
2024-03-13,3,7,2,6,278.0,STRONG_TREND,BULLISH,6
2024-03-14,3,1,2,0,486.0,MIXED,BEARISH,2
2024-03-15,6,1,5,0,317.0,RESOLVE,BEARISH,5
2024-03-18,4,2,3,1,144.0,RESOLVE,BEARISH,3
2024-03-19,1,4,0,3,366.0,RESOLVE,BULLISH,3
2024-03-20,1,18,0,17,563.0,STRONG_TREND,BULLISH,17
2024-03-21,1,11,0,10,307.0,STRONG_TREND,BULLISH,10
2024-03-22,5,1,4,0,416.0,RESOLVE,BEARISH,4
2024-03-25,6,1,5,0,140.0,RESOLVE,BEARISH,5
2024-03-26,4,3,3,2,165.0,RESOLVE,NEUTRAL,3
2024-03-27,3,7,2,6,356.0,STRONG_TREND,BULLISH,6
2024-03-28,5,2,4,1,142.0,RESOLVE,BEARISH,4
2024-04-01,2,1,1,0,467.0,CHOP,NEUTRAL,1
2024-04-02,1,1,0,0,195.0,CHOP,NEUTRAL,0
2024-04-03,3,3,2,2,289.0,MIXED,NEUTRAL,2
2024-04-04,10,1,9,0,883.0,STRONG_TREND,BEARISH,9
2024-04-05,1,16,0,15,452.0,STRONG_TREND,BULLISH,15
2024-04-08,4,2,3,1,167.0,RESOLVE,BEARISH,3
2024-04-09,10,1,9,0,434.0,STRONG_TREND,BEARISH,9
2024-04-10,2,3,1,2,300.0,MIXED,NEUTRAL,2
2024-04-11,10,2,9,1,408.0,STRONG_TREND,BEARISH,9
2024-04-12,7,2,6,1,424.0,STRONG_TREND,BEARISH,6
2024-04-15,3,1,2,0,726.0,MIXED,BEARISH,2
2024-04-16,5,1,4,0,294.0,RESOLVE,BEARISH,4
2024-04-17,10,5,9,4,415.0,STRONG_TREND,BEARISH,9
2024-04-18,8,10,7,9,417.0,STRONG_TREND,BULLISH,9
2024-04-19,1,11,0,10,321.0,STRONG_TREND,BULLISH,10
2024-04-22,6,5,5,4,474.0,RESOLVE,NEUTRAL,5
2024-04-23,2,5,1,4,273.0,RESOLVE,BULLISH,4
2024-04-24,7,3,6,2,250.0,STRONG_TREND,BEARISH,6
2024-04-25,7,9,6,8,464.0,STRONG_TREND,BULLISH,8
2024-04-26,1,3,0,2,292.0,MIXED,BULLISH,2
2024-04-29,3,2,2,1,201.0,MIXED,NEUTRAL,2
2024-04-30,12,2,11,1,531.0,STRONG_TREND,BEARISH,11
2024-05-01,2,13,1,12,558.0,STRONG_TREND,BULLISH,12
2024-05-02,2,7,1,6,606.0,STRONG_TREND,BULLISH,6
2024-05-03,9,1,8,0,297.0,STRONG_TREND,BEARISH,8
2024-05-06,9,1,8,0,194.0,STRONG_TREND,BEARISH,8
2024-05-07,2,4,1,3,149.0,RESOLVE,BULLISH,3
2024-05-08,1,4,0,3,277.0,RESOLVE,BULLISH,3
2024-05-09,1,2,0,1,466.0,CHOP,NEUTRAL,1
2024-05-10,5,2,4,1,187.0,RESOLVE,BEARISH,4
2024-05-13,2,1,1,0,262.0,CHOP,NEUTRAL,1
2024-05-14,4,6,3,5,248.0,RESOLVE,BULLISH,5
2024-05-15,2,8,1,7,263.0,STRONG_TREND,BULLISH,7
2024-05-16,4,2,3,1,212.0,RESOLVE,BEARISH,3
2024-05-17,2,5,1,4,165.0,RESOLVE,BULLISH,4
2024-05-20,6,4,5,3,294.0,RESOLVE,BEARISH,5
2024-05-21,3,4,2,3,127.0,RESOLVE,NEUTRAL,3
2024-05-22,7,4,6,3,341.0,STRONG_TREND,BEARISH,6
2024-05-23,11,1,10,0,694.0,STRONG_TREND,BEARISH,10
2024-05-24,4,4,3,3,210.0,RESOLVE,NEUTRAL,3
2024-05-27,1,6,0,5,112.0,RESOLVE,BULLISH,5
2024-05-28,10,2,9,1,325.0,STRONG_TREND,BEARISH,9
2024-05-29,5,1,4,0,428.0,RESOLVE,BEARISH,4
2024-05-30,4,2,3,1,201.0,RESOLVE,BEARISH,3
2024-05-31,3,14,2,13,677.0,STRONG_TREND,BULLISH,13
2024-06-03,16,1,15,0,506.0,STRONG_TREND,BEARISH,15
2024-06-04,1,5,0,4,390.0,RESOLVE,BULLISH,4
2024-06-05,4,2,3,1,309.0,RESOLVE,BEARISH,3
2024-06-06,2,3,1,2,284.0,MIXED,NEUTRAL,2
2024-06-07,3,3,2,2,380.0,MIXED,NEUTRAL,2
2024-06-10,3,5,2,4,226.0,RESOLVE,BULLISH,4
2024-06-11,5,3,4,2,333.0,RESOLVE,BEARISH,4
2024-06-12,15,1,14,0,529.0,STRONG_TREND,BEARISH,14
2024-06-13,1,2,0,1,314.0,CHOP,NEUTRAL,1
2024-06-14,5,6,4,5,299.0,RESOLVE,NEUTRAL,5
2024-06-17,1,4,0,3,436.0,RESOLVE,BULLISH,3
2024-06-18,4,3,3,2,222.0,RESOLVE,NEUTRAL,3
2024-06-19,1,1,0,0,66.0,COMPRESSION,NEUTRAL,0
2024-06-20,1,3,0,2,481.0,MIXED,BULLISH,2
2024-06-24,2,10,1,9,381.0,STRONG_TREND,BULLISH,9
2024-06-25,8,2,7,1,450.0,STRONG_TREND,BEARISH,7
2024-06-26,1,5,0,4,280.0,RESOLVE,BULLISH,4
2024-06-27,3,6,2,5,240.0,RESOLVE,BULLISH,5
2024-06-28,7,3,6,2,535.0,STRONG_TREND,BEARISH,6
2024-07-01,8,5,7,4,420.0,STRONG_TREND,BEARISH,7
2024-07-02,1,4,0,3,280.0,RESOLVE,BULLISH,3
2024-07-03,6,1,5,0,195.0,RESOLVE,BEARISH,5
2024-07-04,1,1,0,0,114.0,COMPRESSION,NEUTRAL,0
2024-07-05,3,4,2,3,242.0,RESOLVE,NEUTRAL,3
2024-07-08,3,1,2,0,411.0,MIXED,BEARISH,2
2024-07-09,8,2,7,1,368.0,STRONG_TREND,BEARISH,7
2024-07-10,2,2,1,1,501.0,CHOP,NEUTRAL,1
2024-07-11,3,5,2,4,263.0,RESOLVE,BULLISH,4
2024-07-12,2,6,1,5,467.0,RESOLVE,BULLISH,5
2024-07-15,5,3,4,2,225.0,RESOLVE,BEARISH,4
2024-07-16,1,3,0,2,628.0,MIXED,BULLISH,2
2024-07-17,1,12,0,11,398.0,STRONG_TREND,BULLISH,11
2024-07-18,12,2,11,1,786.0,STRONG_TREND,BEARISH,11
2024-07-19,8,1,7,0,415.0,STRONG_TREND,BEARISH,7
2024-07-22,7,2,6,1,259.0,STRONG_TREND,BEARISH,6
2024-07-23,3,4,2,3,228.0,RESOLVE,NEUTRAL,3
2024-07-24,2,2,1,1,467.0,CHOP,NEUTRAL,1
2024-07-25,1,13,0,12,612.0,STRONG_TREND,BULLISH,12
2024-07-26,1,13,0,12,597.0,STRONG_TREND,BULLISH,12
2024-07-29,2,1,1,0,319.0,CHOP,NEUTRAL,1
2024-07-30,5,7,4,6,389.0,STRONG_TREND,BULLISH,6
2024-07-31,2,14,1,13,566.0,STRONG_TREND,BULLISH,13
2024-08-01,31,2,30,1,1020.0,STRONG_TREND,BEARISH,30
2024-08-02,18,1,17,0,694.0,STRONG_TREND,BEARISH,17
2024-08-05,3,6,2,5,548.0,RESOLVE,BULLISH,5
2024-08-06,1,18,0,17,840.0,STRONG_TREND,BULLISH,17
2024-08-07,17,7,16,6,866.0,STRONG_TREND,BEARISH,16
2024-08-08,1,19,0,18,607.0,STRONG_TREND,BULLISH,18
2024-08-09,4,8,3,7,415.0,STRONG_TREND,BULLISH,7
2024-08-12,7,1,6,0,352.0,STRONG_TREND,BEARISH,6
2024-08-13,3,9,2,8,420.0,STRONG_TREND,BULLISH,8
2024-08-14,2,7,1,6,346.0,STRONG_TREND,BULLISH,6
2024-08-15,6,4,5,3,313.0,RESOLVE,BEARISH,5
2024-08-16,3,5,2,4,290.0,RESOLVE,BULLISH,4
2024-08-19,1,6,0,5,220.0,RESOLVE,BULLISH,5
2024-08-20,4,1,3,0,164.0,RESOLVE,BEARISH,3
2024-08-21,7,2,6,1,247.0,STRONG_TREND,BEARISH,6
2024-08-22,12,3,11,2,475.0,STRONG_TREND,BEARISH,11
2024-08-23,3,5,2,4,380.0,RESOLVE,BULLISH,4
2024-08-26,6,7,5,6,294.0,STRONG_TREND,NEUTRAL,6
2024-08-27,4,3,3,2,178.0,RESOLVE,NEUTRAL,3
2024-08-28,4,2,3,1,531.0,RESOLVE,BEARISH,3
2024-08-29,2,4,1,3,510.0,RESOLVE,BULLISH,3
2024-08-30,4,5,3,4,443.0,RESOLVE,NEUTRAL,4
2024-09-02,2,2,1,1,96.0,COMPRESSION,NEUTRAL,1
2024-09-03,7,2,6,1,664.0,STRONG_TREND,BEARISH,6
2024-09-04,3,8,2,7,338.0,STRONG_TREND,BULLISH,7
2024-09-05,15,1,14,0,576.0,STRONG_TREND,BEARISH,14
2024-09-06,17,3,16,2,816.0,STRONG_TREND,BEARISH,16
2024-09-09,2,4,1,3,489.0,RESOLVE,BULLISH,3
2024-09-10,9,1,8,0,517.0,STRONG_TREND,BEARISH,8
2024-09-11,2,7,1,6,917.0,STRONG_TREND,BULLISH,6
2024-09-12,3,7,2,6,459.0,STRONG_TREND,BULLISH,6
2024-09-13,1,7,0,6,400.0,STRONG_TREND,BULLISH,6
2024-09-16,3,3,2,2,293.0,MIXED,NEUTRAL,2
2024-09-17,7,4,6,3,370.0,STRONG_TREND,BEARISH,6
2024-09-18,5,3,4,2,556.0,RESOLVE,BEARISH,4
2024-09-19,6,2,5,1,348.0,RESOLVE,BEARISH,5
2024-09-23,3,2,2,1,181.0,MIXED,NEUTRAL,2
2024-09-24,3,3,2,2,240.0,MIXED,NEUTRAL,2
2024-09-25,16,1,15,0,473.0,STRONG_TREND,BEARISH,15
2024-09-26,3,4,2,3,194.0,RESOLVE,NEUTRAL,3
2024-09-27,1,5,0,4,417.0,RESOLVE,BULLISH,4
2024-09-30,5,4,4,3,428.0,RESOLVE,NEUTRAL,4
2024-10-01,4,3,3,2,405.0,RESOLVE,NEUTRAL,3
2024-10-02,2,2,1,1,296.0,CHOP,NEUTRAL,1
2024-10-03,4,2,3,1,298.0,RESOLVE,BEARISH,3
2024-10-04,6,4,5,3,400.0,RESOLVE,BEARISH,5
2024-10-07,4,4,3,3,478.0,RESOLVE,NEUTRAL,3
2024-10-08,4,2,3,1,265.0,RESOLVE,BEARISH,3
2024-10-09,1,8,0,7,576.0,STRONG_TREND,BULLISH,7
2024-10-10,5,1,4,0,208.0,RESOLVE,BEARISH,4
2024-10-11,1,13,0,12,419.0,STRONG_TREND,BULLISH,12
2024-10-14,1,6,0,5,435.0,RESOLVE,BULLISH,5
2024-10-15,6,1,5,0,317.0,RESOLVE,BEARISH,5
2024-10-16,1,11,0,10,422.0,STRONG_TREND,BULLISH,10
2024-10-17,4,1,3,0,178.0,RESOLVE,BEARISH,3
2024-10-18,4,4,3,3,295.0,RESOLVE,NEUTRAL,3
2024-10-21,7,1,6,0,440.0,STRONG_TREND,BEARISH,6
2024-10-22,2,9,1,8,338.0,STRONG_TREND,BULLISH,8
2024-10-23,11,3,10,2,491.0,STRONG_TREND,BEARISH,10
2024-10-24,9,1,8,0,283.0,STRONG_TREND,BEARISH,8
2024-10-25,5,2,4,1,566.0,RESOLVE,BEARISH,4
2024-10-28,1,4,0,3,166.0,RESOLVE,BULLISH,3
2024-10-29,1,9,0,8,333.0,STRONG_TREND,BULLISH,8
2024-10-30,2,3,1,2,368.0,MIXED,NEUTRAL,2
2024-10-31,9,2,8,1,297.0,STRONG_TREND,BEARISH,8
2024-11-01,1,7,0,6,406.0,STRONG_TREND,BULLISH,6
2024-11-04,5,1,4,0,392.0,RESOLVE,BEARISH,4
2024-11-05,1,18,0,17,543.0,STRONG_TREND,BULLISH,17
2024-11-06,1,10,0,9,432.0,STRONG_TREND,BULLISH,9
2024-11-07,2,2,1,1,183.0,CHOP,NEUTRAL,1
2024-11-08,3,3,2,2,423.0,MIXED,NEUTRAL,2
2024-11-11,1,1,0,0,307.0,CHOP,NEUTRAL,0
2024-11-12,17,1,16,0,517.0,STRONG_TREND,BEARISH,16
2024-11-13,3,8,2,7,315.0,STRONG_TREND,BULLISH,7
2024-11-14,12,1,11,0,402.0,STRONG_TREND,BEARISH,11
2024-11-15,8,1,7,0,304.0,STRONG_TREND,BEARISH,7
2024-11-18,2,5,1,4,219.0,RESOLVE,BULLISH,4
2024-11-19,3,14,2,13,463.0,STRONG_TREND,BULLISH,13
2024-11-20,5,2,4,1,409.0,RESOLVE,BEARISH,4
2024-11-21,3,4,2,3,701.0,RESOLVE,NEUTRAL,3
2024-11-22,2,8,1,7,447.0,STRONG_TREND,BULLISH,7
2024-11-25,6,2,5,1,306.0,RESOLVE,BEARISH,5
2024-11-26,6,3,5,2,470.0,RESOLVE,BEARISH,5
2024-11-27,10,2,9,1,331.0,STRONG_TREND,BEARISH,9
2024-11-28,1,4,0,3,100.0,RESOLVE,BULLISH,3
2024-11-29,1,5,0,4,313.0,RESOLVE,BULLISH,4
2024-12-02,2,1,1,0,318.0,CHOP,NEUTRAL,1
2024-12-03,3,1,2,0,307.0,MIXED,BEARISH,2
2024-12-04,4,5,3,4,290.0,RESOLVE,NEUTRAL,4
2024-12-05,12,2,11,1,342.0,STRONG_TREND,BEARISH,11
2024-12-06,12,1,11,0,324.0,STRONG_TREND,BEARISH,11
2024-12-09,11,1,10,0,358.0,STRONG_TREND,BEARISH,10
2024-12-10,3,6,2,5,292.0,RESOLVE,BULLISH,5
2024-12-11,7,1,6,0,260.0,STRONG_TREND,BEARISH,6
2024-12-12,11,3,10,2,331.0,STRONG_TREND,BEARISH,10
2024-12-13,6,3,5,2,278.0,RESOLVE,BEARISH,5
2024-12-16,6,3,5,2,272.0,RESOLVE,BEARISH,5
2024-12-17,7,3,6,2,225.0,STRONG_TREND,BEARISH,6
2024-12-18,2,1,1,0,1533.0,CHOP,NEUTRAL,1
2024-12-19,12,2,11,1,440.0,STRONG_TREND,BEARISH,11
2024-12-23,7,4,6,3,454.0,STRONG_TREND,BEARISH,6
2024-12-24,1,13,0,12,419.0,STRONG_TREND,BULLISH,12
2024-12-26,1,10,0,9,271.0,STRONG_TREND,BULLISH,9
2024-12-27,9,3,8,2,502.0,STRONG_TREND,BEARISH,8
2024-12-30,10,8,9,7,533.0,STRONG_TREND,BEARISH,9
2024-12-31,3,3,2,2,377.0,MIXED,NEUTRAL,2
2025-01-02,15,2,14,1,754.0,STRONG_TREND,BEARISH,14
2025-01-03,4,6,3,5,358.0,RESOLVE,BULLISH,5
2025-01-06,9,10,8,9,523.0,STRONG_TREND,NEUTRAL,9
2025-01-07,16,2,15,1,560.0,STRONG_TREND,BEARISH,15
2025-01-08,5,4,4,3,333.0,RESOLVE,NEUTRAL,4
2025-01-10,12,1,11,0,585.0,STRONG_TREND,BEARISH,11
2025-01-13,1,15,0,14,497.0,STRONG_TREND,BULLISH,14
2025-01-14,11,6,10,5,451.0,STRONG_TREND,BEARISH,10
2025-01-15,2,8,1,7,286.0,STRONG_TREND,BULLISH,7
2025-01-16,5,2,4,1,221.0,RESOLVE,BEARISH,4
2025-01-17,2,10,1,9,251.0,STRONG_TREND,BULLISH,9
2025-01-20,5,1,4,0,268.0,RESOLVE,BEARISH,4
2025-01-21,1,12,0,11,430.0,STRONG_TREND,BULLISH,11
2025-01-22,4,2,3,1,167.0,RESOLVE,BEARISH,3
2025-01-23,1,8,0,7,394.0,STRONG_TREND,BULLISH,7
2025-01-24,6,3,5,2,220.0,RESOLVE,BEARISH,5
2025-01-27,1,16,0,15,698.0,STRONG_TREND,BULLISH,15
2025-01-28,2,9,1,8,363.0,STRONG_TREND,BULLISH,8
2025-01-29,8,5,7,4,396.0,STRONG_TREND,BEARISH,7
2025-01-30,1,7,0,6,385.0,STRONG_TREND,BULLISH,6
2025-01-31,15,1,14,0,539.0,STRONG_TREND,BEARISH,14
2025-02-03,3,14,2,13,827.0,STRONG_TREND,BULLISH,13
2025-02-04,2,8,1,7,283.0,STRONG_TREND,BULLISH,7
2025-02-05,4,7,3,6,590.0,STRONG_TREND,BULLISH,6
2025-02-06,12,1,11,0,443.0,STRONG_TREND,BEARISH,11
2025-02-07,12,3,11,2,583.0,STRONG_TREND,BEARISH,11
2025-02-10,7,1,6,0,327.0,STRONG_TREND,BEARISH,6
2025-02-11,1,11,0,10,333.0,STRONG_TREND,BULLISH,10
2025-02-12,2,7,1,6,383.0,STRONG_TREND,BULLISH,6
2025-02-13,2,4,1,3,429.0,RESOLVE,BULLISH,3
2025-02-14,7,4,6,3,276.0,STRONG_TREND,BEARISH,6
2025-02-17,1,2,0,1,91.0,COMPRESSION,NEUTRAL,1
2025-02-18,6,3,5,2,268.0,RESOLVE,BEARISH,5
2025-02-19,3,4,2,3,327.0,RESOLVE,NEUTRAL,3
2025-02-20,2,2,1,1,572.0,CHOP,NEUTRAL,1
2025-02-21,3,1,2,0,610.0,MIXED,BEARISH,2
2025-02-24,9,4,8,3,357.0,STRONG_TREND,BEARISH,8
2025-02-25,9,3,8,2,498.0,STRONG_TREND,BEARISH,8
2025-02-26,4,2,3,1,603.0,RESOLVE,BEARISH,3
2025-02-27,8,8,7,7,672.0,STRONG_TREND,NEUTRAL,7
2025-02-28,7,14,6,13,778.0,STRONG_TREND,BULLISH,13
2025-03-03,18,2,17,1,1133.0,STRONG_TREND,BEARISH,17
2025-03-04,14,5,13,4,730.0,STRONG_TREND,BEARISH,13
2025-03-05,3,11,2,10,722.0,STRONG_TREND,BULLISH,10
2025-03-06,5,14,4,13,619.0,STRONG_TREND,BULLISH,13
2025-03-07,5,8,4,7,736.0,STRONG_TREND,BULLISH,7
2025-03-10,21,4,20,3,946.0,STRONG_TREND,BEARISH,20
2025-03-11,15,1,14,0,686.0,STRONG_TREND,BEARISH,14
2025-03-12,14,1,13,0,708.0,STRONG_TREND,BEARISH,13
2025-03-13,17,4,16,3,702.0,STRONG_TREND,BEARISH,16
2025-03-14,2,12,1,11,615.0,STRONG_TREND,BULLISH,11
2025-03-17,1,14,0,13,592.0,STRONG_TREND,BULLISH,13
2025-03-18,10,1,9,0,389.0,STRONG_TREND,BEARISH,9
2025-03-19,2,11,1,10,625.0,STRONG_TREND,BULLISH,10
2025-03-20,1,6,0,5,559.0,RESOLVE,BULLISH,5
2025-03-24,1,10,0,9,353.0,STRONG_TREND,BULLISH,9
2025-03-25,7,1,6,0,259.0,STRONG_TREND,BEARISH,6
2025-03-26,12,3,11,2,512.0,STRONG_TREND,BEARISH,11
2025-03-27,4,5,3,4,378.0,RESOLVE,NEUTRAL,4
2025-03-28,20,1,19,0,830.0,STRONG_TREND,BEARISH,19
2025-03-31,3,18,2,17,995.0,STRONG_TREND,BULLISH,17
2025-04-01,7,10,6,9,641.0,STRONG_TREND,BULLISH,9
2025-04-02,1,15,0,14,950.0,STRONG_TREND,BULLISH,14
2025-04-03,18,2,17,1,770.0,STRONG_TREND,BEARISH,17
2025-04-04,20,2,19,1,1592.0,STRONG_TREND,BEARISH,19
2025-04-07,5,4,4,3,2608.0,RESOLVE,NEUTRAL,4
2025-04-08,34,4,33,3,2353.0,STRONG_TREND,BEARISH,33
2025-04-09,1,18,0,17,3638.0,STRONG_TREND,BULLISH,17
2025-04-10,22,2,21,1,1603.0,STRONG_TREND,BEARISH,21
2025-04-11,2,14,1,13,1161.0,STRONG_TREND,BULLISH,13
2025-04-14,11,2,10,1,639.0,STRONG_TREND,BEARISH,10
2025-04-15,7,5,6,4,486.0,STRONG_TREND,BEARISH,6
2025-04-16,18,5,17,4,1037.0,STRONG_TREND,BEARISH,17
2025-04-17,8,10,7,9,504.0,STRONG_TREND,BULLISH,9
2025-04-21,7,1,6,0,1057.0,STRONG_TREND,BEARISH,6
2025-04-22,1,16,0,15,764.0,STRONG_TREND,BULLISH,15
2025-04-23,12,4,11,3,906.0,STRONG_TREND,BEARISH,11
2025-04-24,2,7,1,6,868.0,STRONG_TREND,BULLISH,6
2025-04-25,7,7,6,6,467.0,STRONG_TREND,NEUTRAL,6
2025-04-28,10,3,9,2,553.0,STRONG_TREND,BEARISH,9
2025-04-29,1,12,0,11,418.0,STRONG_TREND,BULLISH,11
2025-04-30,6,11,5,10,1065.0,STRONG_TREND,BULLISH,10
2025-05-01,6,9,5,8,488.0,STRONG_TREND,BULLISH,8
2025-05-02,3,5,2,4,365.0,RESOLVE,BULLISH,4
2025-05-05,1,9,0,8,405.0,STRONG_TREND,BULLISH,8
2025-05-06,3,6,2,5,515.0,RESOLVE,BULLISH,5
2025-05-07,3,8,2,7,466.0,STRONG_TREND,BULLISH,7
2025-05-08,5,12,4,11,633.0,STRONG_TREND,BULLISH,11
2025-05-09,11,2,10,1,369.0,STRONG_TREND,BEARISH,10
2025-05-12,4,5,3,4,381.0,RESOLVE,NEUTRAL,4
2025-05-13,4,3,3,2,271.0,RESOLVE,NEUTRAL,3
2025-05-14,6,1,5,0,312.0,RESOLVE,BEARISH,5
2025-05-15,1,8,0,7,542.0,STRONG_TREND,BULLISH,7
2025-05-16,1,5,0,4,432.0,RESOLVE,BULLISH,4
2025-05-19,1,12,0,11,498.0,STRONG_TREND,BULLISH,11
2025-05-20,8,1,7,0,321.0,STRONG_TREND,BEARISH,7
