date,time,time_bucket,trade_type,direction,realized_pl,contracts,bars_held,day_type,mode
2024-03-11,10:19:00,10:00-10:30,CHOP_TP,short,55.0,0,19,CHOP,
2024-03-11,10:27:00,10:00-10:30,TREND_SHORT,short,0.0,2,0,TREND,
2024-03-11,10:30:00,10:30-11:00,SESSION_EXIT,short,-80.0,0,3,TREND,
2024-03-12,10:05:00,10:00-10:30,CHOP_SELL,short,0.0,2,0,CHOP,
2024-03-12,10:22:00,10:00-10:30,EXIT_FLAT,short,-138.0,0,17,TREND,
2024-03-12,10:23:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
2024-03-12,10:29:00,10:00-10:30,PARTIAL_TP,long,56.0,1,6,TREND,
2024-03-12,11:10:00,11:00-11:30,SESSION_EXIT,long,104.0,0,47,CHOP,
2024-03-13,10:06:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
2024-03-13,10:23:00,10:00-10:30,PARTIAL_TP,long,52.0,1,17,TREND,
2024-03-13,10:30:00,10:30-11:00,SESSION_EXIT,long,46.0,0,24,TREND,
2024-03-14,09:46:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-03-14,09:48:00,09:30-10:00,PARTIAL_TP,short,62.0,1,2,TREND,
2024-03-14,10:50:00,10:30-11:00,SESSION_EXIT,short,95.0,0,64,CHOP,
2024-03-15,09:53:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-03-15,10:14:00,10:00-10:30,EXIT_FLAT,short,-122.0,0,21,TREND,
2024-03-15,12:04:00,12:00-12:30,CHOP_BUY,long,0.0,2,0,CHOP,
2024-03-15,12:05:00,12:00-12:30,SESSION_EXIT,long,-16.0,0,1,TREND,
2024-03-18,09:47:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-03-18,10:08:00,10:00-10:30,EXIT_FLAT,short,-124.0,0,21,TREND,
2024-03-18,10:17:00,10:00-10:30,CHOP_BUY,long,0.0,2,0,CHOP,
2024-03-18,10:30:00,10:30-11:00,SESSION_EXIT,long,60.0,0,13,TREND,
2024-03-19,10:03:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
2024-03-19,10:30:00,10:30-11:00,SESSION_EXIT,long,4.0,0,27,TREND,
2024-03-20,09:48:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-03-20,10:29:00,10:00-10:30,PARTIAL_TP,long,52.0,1,41,TREND,
2024-03-20,10:31:00,10:30-11:00,SESSION_EXIT,long,38.0,0,43,TREND,
2024-03-21,09:58:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-03-21,10:17:00,10:00-10:30,PARTIAL_TP,long,53.0,1,19,TREND,
2024-03-21,11:03:00,11:00-11:30,SESSION_EXIT,long,38.0,0,65,TREND,
2024-03-22,09:43:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-03-22,10:11:00,10:00-10:30,PARTIAL_TP,short,55.0,1,28,TREND,
2024-03-22,11:48:00,11:30-12:00,SESSION_EXIT,short,134.0,0,125,CHOP,
2024-03-25,09:43:00,09:30-10:00,CHOP_SELL,short,0.0,2,0,CHOP,
2024-03-25,10:30:00,10:30-11:00,SESSION_EXIT,short,52.0,0,47,TREND,
2024-03-26,09:51:00,09:30-10:00,CHOP_SELL,short,0.0,2,0,CHOP,
2024-03-26,10:30:00,10:30-11:00,SESSION_EXIT,short,-84.0,0,39,TREND,
2024-03-27,09:48:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-03-27,10:06:00,10:00-10:30,EXIT_FLAT,long,-126.0,0,18,TREND,
2024-03-27,10:44:00,10:30-11:00,CHOP_BUY,long,0.0,2,0,CHOP,
2024-03-27,10:45:00,10:30-11:00,SESSION_EXIT,long,0.0,0,1,TREND,
2024-03-28,09:51:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-03-28,10:30:00,10:30-11:00,SESSION_EXIT,short,54.0,0,39,TREND,
2024-04-01,09:45:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-01,09:49:00,09:30-10:00,PARTIAL_TP,short,55.0,1,4,TREND,
2024-04-01,10:02:00,10:00-10:30,CHOP_TP,short,70.0,0,17,CHOP,
2024-04-01,10:04:00,10:00-10:30,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-01,10:30:00,10:30-11:00,SESSION_EXIT,short,74.0,0,26,TREND,
2024-04-02,09:45:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-02,09:58:00,09:30-10:00,CHOP_TP,short,56.0,0,13,CHOP,
2024-04-02,12:01:00,12:00-12:30,CHOP_BUY,long,0.0,2,0,CHOP,
2024-04-02,12:02:00,12:00-12:30,SESSION_EXIT,long,0.0,0,1,TREND,
2024-04-03,09:43:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-04-03,10:00:00,10:00-10:30,PARTIAL_TP,long,52.0,1,17,TREND,
2024-04-03,10:16:00,10:00-10:30,CHOP_TP,long,58.0,0,33,CHOP,
2024-04-03,10:21:00,10:00-10:30,CHOP_BUY,long,0.0,2,0,CHOP,
2024-04-03,10:30:00,10:30-11:00,SESSION_EXIT,long,-4.0,0,9,TREND,
2024-04-04,09:44:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-04,09:51:00,09:30-10:00,PARTIAL_TP,short,64.0,1,7,TREND,
2024-04-04,10:12:00,10:00-10:30,CHOP_TP,short,44.0,0,28,CHOP,
2024-04-04,10:18:00,10:00-10:30,CHOP_BUY,long,0.0,2,0,CHOP,
2024-04-04,10:30:00,10:30-11:00,SESSION_EXIT,long,16.0,0,12,TREND,
2024-04-05,09:44:00,09:30-10:00,CHOP_BUY,long,0.0,2,0,CHOP,
2024-04-05,10:12:00,10:00-10:30,PARTIAL_TP,long,66.0,1,28,TREND,
2024-04-05,10:30:00,10:30-11:00,SESSION_EXIT,long,11.0,0,46,TREND,
2024-04-08,09:45:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-04-08,09:59:00,09:30-10:00,EXIT_FLAT,long,-148.0,0,14,TREND,
2024-04-08,10:02:00,10:00-10:30,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-08,10:30:00,10:30-11:00,SESSION_EXIT,short,-120.0,0,28,TREND,
2024-04-09,09:46:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-09,09:52:00,09:30-10:00,PARTIAL_TP,short,66.0,1,6,TREND,
2024-04-09,11:25:00,11:00-11:30,SESSION_EXIT,short,213.0,0,99,CHOP,
2024-04-10,10:33:00,10:30-11:00,TREND_LONG,long,0.0,2,0,TREND,
2024-04-10,10:34:00,10:30-11:00,SESSION_EXIT,long,-2.0,0,1,TREND,
2024-04-11,09:46:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-11,10:04:00,10:00-10:30,PARTIAL_TP,short,59.0,1,18,TREND,
2024-04-11,11:03:00,11:00-11:30,SESSION_EXIT,short,118.0,0,77,CHOP,
2024-04-12,09:46:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-04-12,09:52:00,09:30-10:00,EXIT_FLAT,long,-152.0,0,6,TREND,
2024-04-12,10:00:00,10:00-10:30,CHOP_BUY,long,0.0,2,0,CHOP,
2024-04-12,10:08:00,10:00-10:30,EXIT_FLAT,long,-180.0,0,8,TREND,
2024-04-12,10:35:00,10:30-11:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-12,10:36:00,10:30-11:00,SESSION_EXIT,short,68.0,0,1,TREND,
2024-04-15,09:45:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-15,10:05:00,10:00-10:30,PARTIAL_TP,short,51.0,1,20,TREND,
2024-04-15,10:46:00,10:30-11:00,SESSION_EXIT,short,260.0,0,61,CHOP,
2024-04-16,09:42:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-16,09:56:00,09:30-10:00,EXIT_FLAT,short,-130.0,0,14,TREND,
2024-04-16,10:02:00,10:00-10:30,CHOP_BUY,long,0.0,2,0,CHOP,
2024-04-16,10:14:00,10:00-10:30,PARTIAL_TP,long,65.0,1,12,TREND,
2024-04-16,10:30:00,10:30-11:00,SESSION_EXIT,long,-33.0,0,28,TREND,
2024-04-17,09:42:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-04-17,10:00:00,10:00-10:30,EXIT_FLAT,long,-122.0,0,18,TREND,
2024-04-17,10:12:00,10:00-10:30,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-17,10:30:00,10:30-11:00,SESSION_EXIT,short,6.0,0,18,TREND,
2024-04-18,09:56:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-04-18,10:17:00,10:00-10:30,PARTIAL_TP,long,62.0,1,21,TREND,
2024-04-18,10:32:00,10:30-11:00,SESSION_EXIT,long,49.0,0,36,TREND,
2024-04-19,09:44:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-04-19,10:07:00,10:00-10:30,PARTIAL_TP,long,51.0,1,23,TREND,
2024-04-19,10:30:00,10:30-11:00,SESSION_EXIT,long,26.0,0,46,TREND,
2024-04-22,11:13:00,11:00-11:30,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-22,11:14:00,11:00-11:30,SESSION_EXIT,short,20.0,0,1,TREND,
2024-04-23,09:45:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-04-23,10:30:00,10:30-11:00,SESSION_EXIT,long,-10.0,0,45,TREND,
2024-04-24,10:08:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
2024-04-24,10:17:00,10:00-10:30,EXIT_FLAT,long,-144.0,0,9,TREND,
2024-04-24,10:23:00,10:00-10:30,CHOP_SELL,short,0.0,2,0,CHOP,
2024-04-24,10:30:00,10:30-11:00,SESSION_EXIT,short,-10.0,0,7,TREND,
2024-04-25,09:48:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-25,09:52:00,09:30-10:00,PARTIAL_TP,short,55.0,1,4,TREND,
2024-04-25,10:30:00,10:30-11:00,SESSION_EXIT,short,35.0,0,42,TREND,
2024-04-26,09:44:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-04-26,09:51:00,09:30-10:00,PARTIAL_TP,long,52.0,1,7,TREND,
2024-04-26,10:30:00,10:30-11:00,SESSION_EXIT,long,50.0,0,46,TREND,
2024-04-29,10:48:00,10:30-11:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-29,10:49:00,10:30-11:00,SESSION_EXIT,short,14.0,0,1,TREND,
2024-04-30,09:53:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-04-30,10:17:00,10:00-10:30,EXIT_FLAT,short,-142.0,0,24,TREND,
2024-04-30,10:18:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
2024-04-30,10:29:00,10:00-10:30,EXIT_FLAT,long,-138.0,0,11,TREND,
2024-04-30,10:46:00,10:30-11:00,TREND_LONG,long,0.0,2,0,TREND,
2024-04-30,10:47:00,10:30-11:00,SESSION_EXIT,long,-26.0,0,1,TREND,
2024-05-01,09:53:00,09:30-10:00,CHOP_SELL,short,0.0,2,0,CHOP,
2024-05-01,10:30:00,10:30-11:00,SESSION_EXIT,short,-70.0,0,37,TREND,
2024-05-02,09:43:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-05-02,10:02:00,10:00-10:30,PARTIAL_TP,short,57.0,1,19,TREND,
2024-05-02,10:30:00,10:30-11:00,SESSION_EXIT,short,-56.0,0,47,TREND,
2024-05-03,10:04:00,10:00-10:30,TREND_SHORT,short,0.0,2,0,TREND,
2024-05-03,10:12:00,10:00-10:30,PARTIAL_TP,short,53.0,1,8,TREND,
2024-05-03,11:00:00,11:00-11:30,SESSION_EXIT,short,100.0,0,56,CHOP,
2024-05-06,09:43:00,09:30-10:00,CHOP_SELL,short,0.0,2,0,CHOP,
2024-05-06,09:58:00,09:30-10:00,PARTIAL_TP,short,51.0,1,15,TREND,
2024-05-06,10:30:00,10:30-11:00,SESSION_EXIT,short,40.0,0,47,TREND,
2024-05-07,09:52:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-05-07,10:24:00,10:00-10:30,CHOP_TP,long,56.0,0,32,CHOP,
2024-05-07,10:26:00,10:00-10:30,CHOP_BUY,long,0.0,2,0,CHOP,
2024-05-07,10:30:00,10:30-11:00,SESSION_EXIT,long,-24.0,0,4,TREND,
2024-05-08,10:25:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
2024-05-08,10:30:00,10:30-11:00,SESSION_EXIT,long,-20.0,0,5,TREND,
2024-05-09,09:43:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-05-09,09:51:00,09:30-10:00,PARTIAL_TP,long,54.0,1,8,TREND,
2024-05-09,10:21:00,10:00-10:30,CHOP_TP,long,128.0,0,38,CHOP,
2024-05-09,10:22:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
2024-05-09,10:30:00,10:30-11:00,SESSION_EXIT,long,50.0,0,8,TREND,
2024-05-10,09:52:00,09:30-10:00,CHOP_SELL,short,0.0,2,0,CHOP,
2024-05-10,10:16:00,10:00-10:30,CHOP_TP,short,32.0,0,24,CHOP,
2024-05-10,10:18:00,10:00-10:30,CHOP_BUY,long,0.0,2,0,CHOP,
2024-05-10,10:30:00,10:30-11:00,SESSION_EXIT,long,-68.0,0,12,TREND,
2024-05-13,10:09:00,10:00-10:30,CHOP_SELL,short,0.0,2,0,CHOP,
2024-05-13,10:27:00,10:00-10:30,CHOP_TP,short,58.0,0,18,CHOP,
2024-05-13,10:31:00,10:30-11:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-05-13,10:32:00,10:30-11:00,SESSION_EXIT,short,-14.0,0,1,TREND,
2024-05-14,09:59:00,09:30-10:00,CHOP_BUY,long,0.0,2,0,CHOP,
2024-05-14,10:11:00,10:00-10:30,PARTIAL_TP,long,57.0,1,12,TREND,
2024-05-14,10:30:00,10:30-11:00,SESSION_EXIT,long,13.0,0,31,TREND,
2024-05-15,09:42:00,09:30-10:00,CHOP_BUY,long,0.0,2,0,CHOP,
2024-05-15,09:53:00,09:30-10:00,EXIT_FLAT,long,-132.0,0,11,TREND,
2024-05-15,09:54:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-05-15,10:30:00,10:30-11:00,SESSION_EXIT,short,-44.0,0,36,TREND,
2024-05-16,09:43:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-05-16,10:10:00,10:00-10:30,EXIT_FLAT,short,-138.0,0,27,TREND,
2024-05-16,10:12:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
2024-05-16,10:30:00,10:30-11:00,SESSION_EXIT,long,62.0,0,18,CHOP,
2024-05-17,09:44:00,09:30-10:00,CHOP_SELL,short,0.0,2,0,CHOP,
2024-05-17,10:30:00,10:30-11:00,SESSION_EXIT,short,-50.0,0,46,TREND,
2024-05-20,09:47:00,09:30-10:00,CHOP_BUY,long,0.0,2,0,CHOP,
2024-05-20,09:56:00,09:30-10:00,PARTIAL_TP,long,54.0,1,9,TREND,
2024-05-20,10:41:00,10:30-11:00,SESSION_EXIT,long,119.0,0,54,CHOP,
2024-05-21,10:06:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
2024-05-21,10:30:00,10:30-11:00,SESSION_EXIT,long,-4.0,0,24,TREND,
2024-05-22,09:42:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-05-22,10:30:00,10:30-11:00,SESSION_EXIT,long,-20.0,0,48,TREND,
2024-05-23,09:47:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-05-23,09:51:00,09:30-10:00,PARTIAL_TP,short,54.0,1,4,TREND,
2024-05-23,10:05:00,10:00-10:30,CHOP_TP,short,47.0,0,18,CHOP,
2024-05-23,10:21:00,10:00-10:30,TREND_SHORT,short,0.0,2,0,TREND,
2024-05-23,10:30:00,10:30-11:00,SESSION_EXIT,short,82.0,0,9,TREND,
2024-05-24,09:50:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-05-24,10:30:00,10:30-11:00,SESSION_EXIT,short,-42.0,0,40,TREND,
2024-05-27,09:53:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-05-27,10:30:00,10:30-11:00,SESSION_EXIT,short,2.0,0,37,TREND,
2024-05-28,09:44:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-05-28,09:56:00,09:30-10:00,EXIT_FLAT,long,-124.0,0,12,TREND,
2024-05-28,10:05:00,10:00-10:30,CHOP_BUY,long,0.0,2,0,CHOP,
2024-05-28,10:30:00,10:30-11:00,SESSION_EXIT,long,18.0,0,25,TREND,
2024-05-29,10:07:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
2024-05-29,10:30:00,10:30-11:00,SESSION_EXIT,long,-38.0,0,23,TREND,
2024-05-30,09:49:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-05-30,10:11:00,10:00-10:30,CHOP_TP,short,40.0,0,22,CHOP,
2024-05-30,10:14:00,10:00-10:30,TREND_SHORT,short,0.0,2,0,TREND,
2024-05-30,10:30:00,10:30-11:00,SESSION_EXIT,short,-108.0,0,16,TREND,
2024-05-31,09:54:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-05-31,10:30:00,10:30-11:00,SESSION_EXIT,short,8.0,0,36,TREND,
2024-06-03,09:48:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-06-03,09:55:00,09:30-10:00,PARTIAL_TP,short,50.0,1,7,TREND,
2024-06-03,10:30:00,10:30-11:00,SESSION_EXIT,short,36.0,0,42,TREND,
2024-06-04,09:44:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-06-04,10:00:00,10:00-10:30,PARTIAL_TP,long,61.0,1,16,TREND,
2024-06-04,10:37:00,10:30-11:00,SESSION_EXIT,long,42.0,0,53,TREND,
2024-06-05,09:45:00,09:30-10:00,CHOP_BUY,long,0.0,2,0,CHOP,
2024-06-05,09:53:00,09:30-10:00,EXIT_FLAT,long,-140.0,0,8,TREND,
2024-06-05,09:59:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-06-05,10:05:00,10:00-10:30,EXIT_FLAT,long,-120.0,0,6,TREND,
2024-06-05,10:09:00,10:00-10:30,TREND_SHORT,short,0.0,2,0,TREND,
2024-06-05,10:23:00,10:00-10:30,EXIT_FLAT,short,-124.0,0,14,TREND,
2024-06-05,11:34:00,11:30-12:00,CHOP_BUY,long,0.0,2,0,CHOP,
2024-06-05,11:35:00,11:30-12:00,SESSION_EXIT,long,18.0,0,1,TREND,
2024-06-06,09:42:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-06-06,09:46:00,09:30-10:00,PARTIAL_TP,long,54.0,1,4,TREND,
2024-06-06,10:15:00,10:00-10:30,CHOP_TP,long,102.0,0,33,CHOP,
2024-06-06,11:43:00,11:30-12:00,CHOP_SELL,short,0.0,2,0,CHOP,
2024-06-06,11:44:00,11:30-12:00,SESSION_EXIT,short,16.0,0,1,TREND,
2024-06-07,09:43:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-06-07,09:47:00,09:30-10:00,EXIT_FLAT,long,-122.0,0,4,TREND,
2024-06-07,10:00:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
2024-06-07,10:14:00,10:00-10:30,PARTIAL_TP,long,52.0,1,14,TREND,
2024-06-07,11:06:00,11:00-11:30,SESSION_EXIT,long,48.0,0,66,TREND,
2024-06-10,09:51:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-06-10,10:30:00,10:30-11:00,SESSION_EXIT,long,-78.0,0,39,TREND,
2024-06-11,09:42:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-06-11,09:46:00,09:30-10:00,PARTIAL_TP,short,53.0,1,4,TREND,
2024-06-11,10:24:00,10:00-10:30,EXIT_FLAT,short,-60.0,0,42,TREND,
2024-06-11,11:51:00,11:30-12:00,CHOP_BUY,long,0.0,2,0,CHOP,
2024-06-11,11:52:00,11:30-12:00,SESSION_EXIT,long,-8.0,0,1,TREND,
2024-06-12,10:05:00,10:00-10:30,TREND_SHORT,short,0.0,2,0,TREND,
2024-06-12,10:11:00,10:00-10:30,PARTIAL_TP,short,59.0,1,6,TREND,
2024-06-12,10:30:00,10:30-11:00,SESSION_EXIT,short,44.0,0,25,TREND,
2024-06-13,09:42:00,09:30-10:00,CHOP_SELL,short,0.0,2,0,CHOP,
2024-06-13,09:45:00,09:30-10:00,PARTIAL_TP,short,62.0,1,3,TREND,
2024-06-13,10:48:00,10:30-11:00,SESSION_EXIT,short,106.0,0,66,CHOP,
2024-06-14,09:51:00,09:30-10:00,TREND_SHORT,short,0.0,2,0,TREND,
2024-06-14,10:05:00,10:00-10:30,PARTIAL_TP,short,50.0,1,14,TREND,
2024-06-14,10:35:00,10:30-11:00,SESSION_EXIT,short,40.0,0,44,TREND,
2024-06-17,09:50:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-06-17,09:59:00,09:30-10:00,EXIT_FLAT,long,-154.0,0,9,TREND,
2024-06-17,10:57:00,10:30-11:00,TREND_LONG,long,0.0,2,0,TREND,
2024-06-17,10:58:00,10:30-11:00,SESSION_EXIT,long,6.0,0,1,TREND,
2024-06-18,10:24:00,10:00-10:30,TREND_SHORT,short,0.0,2,0,TREND,
2024-06-18,10:30:00,10:30-11:00,SESSION_EXIT,short,-30.0,0,6,TREND,
2024-06-19,09:48:00,09:30-10:00,CHOP_SELL,short,0.0,2,0,CHOP,
2024-06-19,10:12:00,10:00-10:30,CHOP_TP,short,22.0,0,24,CHOP,
2024-06-19,10:14:00,10:00-10:30,CHOP_BUY,long,0.0,2,0,CHOP,
2024-06-19,10:30:00,10:30-11:00,SESSION_EXIT,long,-38.0,0,16,TREND,
2024-06-20,09:43:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-06-20,09:48:00,09:30-10:00,PARTIAL_TP,long,68.0,1,5,TREND,
2024-06-20,09:57:00,09:30-10:00,CHOP_TP,long,50.0,0,14,CHOP,
2024-06-20,10:10:00,10:00-10:30,CHOP_BUY,long,0.0,2,0,CHOP,
2024-06-20,10:16:00,10:00-10:30,CHOP_TP,long,76.0,0,6,CHOP,
2024-06-20,10:17:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
2024-06-20,10:30:00,10:30-11:00,SESSION_EXIT,long,-72.0,0,13,TREND,
2024-06-24,09:48:00,09:30-10:00,TREND_LONG,long,0.0,2,0,TREND,
2024-06-24,09:52:00,09:30-10:00,PARTIAL_TP,long,57.0,1,4,TREND,
2024-06-24,10:19:00,10:00-10:30,CHOP_TP,long,147.0,0,31,CHOP,
2024-06-24,10:21:00,10:00-10:30,TREND_LONG,long,0.0,2,0,TREND,
